Conv1, 116860, 64, 1, 3, 1, 16, 7, 7, 2, 0.5,2, compute bound
Conv2_1a, 115920, 64, 1, 16, 4, 18, 3, 3, 1, 0.5,2, compute bound
Conv2_1b, 115920, 64, 1, 16, 4, 18, 3, 3, 1, 0.5,2, compute bound
Conv2_2a, 115920, 64, 1, 16, 4, 18, 3, 3, 1, 0.5,2, compute bound
Conv2_2b, 115920, 64, 1, 16, 4, 18, 3, 3, 1, 0.5,2, compute bound
Conv3_1a, 51104, 128, 1, 16, 4, 14, 2, 3, 2, 0.625,2, compute bound
Conv3_1b, 82592, 128, 1, 16, 8, 26, 1, 3, 1, 0.625,2, compute bound
Conv3_s, 17882, 128, 1, 32, 2, 15, 2, 1, 2, 0.1953125,2, memory bound
Conv3_2a, 82592, 128, 1, 16, 8, 26, 1, 3, 1, 0.625,2, compute bound
Conv3_2b, 82592, 128, 1, 16, 8, 26, 1, 3, 1, 0.625,2, compute bound
Conv4_1a, 51104, 128, 2, 16, 8, 14, 1, 3, 2, 0.625,2, compute bound
Conv4_1b, 64512, 256, 1, 32, 8, 12, 1, 3, 1, 0.6875,2, compute bound
Conv4_s, 12820, 256, 1, 64, 2, 9, 2, 1, 2, 0.625,2, memory bound
Conv4_2a, 64512, 256, 1, 32, 8, 12, 1, 3, 1, 0.6875,2, compute bound
Conv4_2b, 64512, 256, 1, 32, 8, 12, 1, 3, 1, 0.6875,2, compute bound
Conv5_1a, 75076, 64, 8, 32, 8, 7, 1, 3, 2, 0.5,2, memory bound
Conv5_1b, 148082, 32, 16, 32, 16, 5, 1, 3, 1, 0.1875,2, memory bound
Conv5_s, 10240, 256, 2, 64, 4, 8, 1, 1, 2, 0.5,2, memory bound
Conv5_2a, 148082, 32, 16, 32, 16, 5, 1, 3, 1, 0.1875,2, memory bound
Conv5_2b, 148082, 32, 16, 32, 16, 5, 1, 3, 1, 0.1875,2, memory bound
FC, 32104, 50, 20, 32, 16, 1, 1, 1, 1, 0.2,2, memory bound
